Farbe;Dokumentgruppe;Dokumentname;Code;Anfang;Ende;Gewicht;Segment;Bearbeitet von;Bearbeitet am;Erstellt von;Erstellt am;Memos;Kommentar;Fläche;Abdeckungsgrad %;Weitere am Segment vergebene Codes
●;;ho-kw27-ig-metaphern;METAPHER;3;3;0;Klima-Terror;guhl;01.07.24 14:54;guhl;01.07.24 14:54:45;"guhl, 01.07.24 15:08
Titel: Memo 38
terror > aktionen gegen unbeteiligte: ist gegeben
X-terror-X: komposita

";;12;0.14;
●;;ho-kw27-ig-metaphern;METAPHER;3;3;0;Opfer;guhl;01.07.24 14:54;guhl;01.07.24 14:54:48; ;;5;0.06;
●;;ho-kw27-ig-metaphern;FIG;6;6;0;klebt Blut an den Händen;guhl;01.07.24 14:45;guhl;01.07.24 14:45:49; ;;24;0.29;
●;;ho-kw27-ig-metaphern;METAPHER;6;6;0;Klima-Fanatiker;guhl;01.07.24 14:54;guhl;01.07.24 14:54:28; ;;15;0.18;
●;;ho-kw27-ig-metaphern;METAPHER;6;6;0;kriminellen Klebe-Attacken;guhl;01.07.24 15:12;guhl;01.07.24 14:37:27; ;;26;0.31;
●;;ho-kw27-ig-metaphern;FRAME;6;6;0;Berliner Straßenverkehr blockieren und den arbeitenden Teil der Bevölkerung;guhl;01.07.24 15:16;guhl;01.07.24 15:16:22; ;;75;0.90;
●;;ho-kw27-ig-metaphern;METAPHER;6;6;0;terrorisieren;guhl;01.07.24 14:54;guhl;01.07.24 14:54:38; ;;13;0.16;
●;;ho-kw27-ig-metaphern;FRAME;6;6;0;durch ihre Straßenblockade verhindert;guhl;01.07.24 15:19;guhl;01.07.24 15:19:05; ;;37;0.44;
●;;ho-kw27-ig-metaphern;FRAME;7;7;0;nach langem Warten ohne die dringend benötigte technische Unterstützung;guhl;01.07.24 15:21;guhl;01.07.24 15:21:09; ;;71;0.85;
●;;ho-kw27-ig-metaphern;METAPHER;7;7;0;Terror;guhl;01.07.24 14:55;guhl;01.07.24 14:55:16; ;;6;0.07;
●;;ho-kw27-ig-metaphern;METAPHER;8;8;0;Klima-Terroristen;guhl;01.07.24 14:55;guhl;01.07.24 14:55:25; ;;17;0.20;
●;;ho-kw27-ig-metaphern;METAPHER;8;8;0;gehören ins Gefängnis;guhl;01.07.24 15:12;guhl;01.07.24 15:12:52; ;;21;0.25;
●;;ho-kw27-ig-metaphern;FRAME;9;9;0;sind keine „Aktivisten“, sondern gefährliche Straftäter;guhl;01.07.24 15:43;guhl;01.07.24 15:43:20; ;;55;0.66;METAPHER (Gewicht: 0)
●;;ho-kw27-ig-metaphern;METAPHER;9;9;0;Straftäter;guhl;01.07.24 15:13;guhl;01.07.24 15:13:18; ;;10;0.12;FRAME (Gewicht: 0)
●;;ho-kw27-ig-metaphern;FRAME;9;9;0;samt ihren Ablegern;guhl;01.07.24 15:45;guhl;01.07.24 15:45:05; ;;19;0.23;METAPHER (Gewicht: 0)
●;;ho-kw27-ig-metaphern;METAPHER;9;9;0;Ablegern;guhl;01.07.24 15:44;guhl;01.07.24 15:44:25; ;;8;0.10;FRAME (Gewicht: 0)
●;;ho-kw27-ig-metaphern;METAPHER;9;9;0;terroristische Vereinigung;guhl;01.07.24 14:55;guhl;01.07.24 14:55:46; ;;26;0.31;
●;;ho-kw27-ig-metaphern;FRAME;9;9;0;Die Täter gehören nicht in Talkshows und auf Gastkommentarspalten, sondern ins Gefängnis.;guhl;01.07.24 15:31;guhl;01.07.24 15:31:01;"guhl, 01.07.24 15:33
Titel: Memo 39
gegenüberstellung IN... (fig.) vs IN... (lit.)

";;89;1.06;"MET.ONTOL (Gewicht: 0)
METAPHER (Gewicht: 0)"
●;;ho-kw27-ig-metaphern;MET.ONTOL;9;9;0;nicht in Talkshows und auf Gastkommentarspalten, sondern ins Gefängnis.;guhl;01.07.24 15:32;guhl;01.07.24 15:31:32;"guhl, 01.07.24 15:33
Titel: Memo 39
gegenüberstellung IN... (fig.) vs IN... (lit.)

";;71;0.85;"FRAME (Gewicht: 0)
METAPHER (Gewicht: 0)"
●;;ho-kw27-ig-metaphern;METAPHER;9;9;0;Gefängnis;guhl;01.07.24 15:13;guhl;01.07.24 15:13:29;"guhl, 01.07.24 15:33
Titel: Memo 39
gegenüberstellung IN... (fig.) vs IN... (lit.)

";;9;0.11;"MET.ONTOL (Gewicht: 0)
FRAME (Gewicht: 0)"
●;;ho-kw27-ig-metaphern;FRAME;10;10;0;sollte ihnen nicht länger durchgehen;guhl;01.07.24 15:42;guhl;01.07.24 15:42:02; ;;36;0.43;
●;;ho-kw27-ig-metaphern;FRAME;10;10;0;noch mehr Menschen zu Schaden kommen oder gar sterben;guhl;01.07.24 15:37;guhl;01.07.24 15:37:14; ;;53;0.63;
●;;ho-kw27-ig-metaphern;METAPHER;10;10;0;Klima-Terror;guhl;01.07.24 14:56;guhl;01.07.24 14:56:14; ;;12;0.14;
●;;ho-kw27-ig-metaphern;FIG;10;10;0;ein Riegel vorgeschoben;guhl;01.07.24 14:45;guhl;01.07.24 14:45:40; ;;23;0.27;
●;;ho-kw27-ig-metaphern;METAPHER;14;14;0;eine Invasion;guhl;01.07.24 14:39;guhl;01.07.24 14:39:06; ;;13;0.16;
●;;ho-kw27-ig-metaphern;METAPHER;17;17;0;Migrationsmagneten;guhl;01.07.24 14:39;guhl;01.07.24 14:39:22; ;;18;0.22;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;Das „Heerlager der Heiligen“;guhl;01.07.24 14:39;guhl;01.07.24 14:39:37; ;;28;0.33;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;militärischen Landungsunternehmen;guhl;01.07.24 14:39;guhl;01.07.24 14:39:47; ;;33;0.39;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;werfen;guhl;01.07.24 14:39;guhl;01.07.24 14:39:58; ;;6;0.07;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;Welle auf Welle;guhl;08.07.24 14:25;guhl;08.07.24 14:25:08; ;;15;0.18;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;an die Ufer;guhl;01.07.24 14:40;guhl;01.07.24 14:40:11; ;;11;0.13;
●;;ho-kw27-ig-metaphern;METAPHER;18;18;0;Invasion;guhl;01.07.24 14:40;guhl;01.07.24 14:40:47; ;;8;0.10;
●;;ho-kw27-ig-metaphern;METAPHER;19;19;0;Propagandaplatten abspielen;guhl;08.07.24 14:25;guhl;08.07.24 14:25:25; ;;27;0.32;
●;;ho-kw27-ig-metaphern;METAPHER;19;19;0;Migrantenflut;guhl;01.07.24 14:41;guhl;01.07.24 14:41:01; ;;13;0.16;
●;;ho-kw27-ig-metaphern;METAPHER;19;19;0;mit der Lupe suchen;guhl;01.07.24 14:41;guhl;01.07.24 14:41:39; ;;19;0.23;FIG (Gewicht: 0)
●;;ho-kw27-ig-metaphern;FIG;19;19;0;mit der Lupe suchen;guhl;01.07.24 14:45;guhl;01.07.24 14:45:26; ;;19;0.23;METAPHER (Gewicht: 0)
●;;ho-kw27-ig-metaphern;LITER;19;19;0;wehrfähigen Alter;guhl;08.07.24 14:46;guhl;08.07.24 14:46:54; ;;17;0.20;
●;;ho-kw27-ig-metaphern;METAPHER;19;19;0;Eintrittskarte nach Europa;guhl;01.07.24 14:41;guhl;01.07.24 14:41:51; ;;26;0.31;
●;;ho-kw27-ig-metaphern;FIG;20;20;0;über das Meer gelockt;guhl;01.07.24 14:45;guhl;01.07.24 14:45:14; ;;21;0.25;
●;;ho-kw27-ig-metaphern;METAPHER;22;22;0;Migrationsparteien;guhl;01.07.24 15:02;guhl;01.07.24 15:02:30; ;;18;0.22;
●;;ho-kw27-ig-metaphern;METAPHER;23;23;0;am Budapester Bahnhof stauten;guhl;01.07.24 14:42;guhl;01.07.24 14:42:55; ;;29;0.35;
●;;ho-kw27-ig-metaphern;METAPHER;24;24;0;laue Ansage;guhl;01.07.24 14:43;guhl;01.07.24 14:43:20; ;;11;0.13;
●;;ho-kw27-ig-metaphern;METAPHER;24;24;0;Lampedusa-Invasion;guhl;01.07.24 14:43;guhl;01.07.24 14:43:34; ;;18;0.22;
●;;ho-kw27-ig-metaphern;FIG;24;24;0;auf deren Sorgen pfeift.;guhl;01.07.24 14:44;guhl;01.07.24 14:44:09; ;;24;0.29;
●;;ho-kw27-ig-metaphern;METAPHER;26;26;0;überrumpelte;guhl;01.07.24 14:46;guhl;01.07.24 14:46:38; ;;12;0.14;
●;;ho-kw27-ig-metaphern;FIG;26;26;0;mit ihrer Geduld am Ende;guhl;01.07.24 14:46;guhl;01.07.24 14:46:55; ;;24;0.29;
●;;ho-kw27-ig-metaphern;METAPHER;26;26;0;Eindringlinge;guhl;01.07.24 14:47;guhl;01.07.24 14:47:04; ;;13;0.16;
●;;ho-kw27-ig-metaphern;METAPHER;26;26;0;marodierende Horden von Nordafrikanern;guhl;01.07.24 14:47;guhl;01.07.24 14:47:27; ;;38;0.45;LITER (Gewicht: 0)
●;;ho-kw27-ig-metaphern;LITER;26;26;0;marodierende Horden von Nordafrikanern;guhl;08.07.24 14:48;guhl;08.07.24 14:48:03; ;;38;0.45;METAPHER (Gewicht: 0)
●;;ho-kw27-ig-metaphern;LITER;26;26;0;Messerattacken;guhl;08.07.24 14:47;guhl;08.07.24 14:47:45; ;;14;0.17;
