,kwic,give,coll,particip,passive,synonyme,note,n.alt,n.0,total,expl
,". 359.53 360.38 SHARON: .. Yeah. 360.38 360.98 ... [Well], 360.68 360.93 CAROLYN: [They- -- 360.93 362.28 They] don't give a shit about .. anything. 362.28 363.03 SHARON: .. I know. 363.03 363.78 CAROLYN: (Hx)[=] 363.30 366.21 SHARON: [I% I]",give,a shit,,,dont care,,37,1,38,
,"privilege, 752.75 754.20 .. that .. n=obody can do, 754.20 755.62 unless they have this pass. 755.62 759.12 (H) And then give those p =asses out for good behavior [at the end of the day]. 758.17 759.12 CAROLYN: [I have an idea]. 759.12 761.92 .. (H)",give,passes,,,,,,,0,
,"720.80 (H) .. you know, 720.80 721.35 BRAD: .. Mhm. 721.35 722.44 PHIL: %b=- .. people, 722.44 723.74 .. that'll be given tasks . 723.74 724.03 BRAD: Yeah. 724.03 724.36 PHIL: You know, 724.36 725.19 Specifically. 725.19 725.68 BRAD: [Yeah",give,task,,,,,,,0,
,"yet if I do not know how to utili=ze, 265.27 267.55 ... that entity in terms of its mobilization, 267.72 269.28 (H) .. for a given objective , 269.28 270.30 .. like a labor union. 270.30 272.38 .. If I have fourteen million people as members, 272.38",give,objective,1,,,,,,0,
,".. he's plans to take a job here. 1644.48 1646.69 (H) .. C- Common courtesy says, 1646.69 1649.92 that he (H) .. % needs to give em two weeks notice. 1649.92 1651.31 (H) ... But, 1651.31 1653.82 .. the- .. the practice within the .. the industry,",give,notice,,,hand in,"kündigen, einlegen",0,,0,
,"], 203.886 204.475 TAMMY: [mhm], 204.475 205.623 BRAD: ... They really put a lot into them, 205.623 207.266 to be able to give that kind of warranty, 207.154 207.824 TAMMY: m[hm], 207.569 209.434 BRAD: [(H=)] and u=m, 209.721 211.841 ... (TSK)",give,warranty,,,"warrant, guarantee, grant",,2,1,3,
,"why. 685.575 686.435 KRISTEN: ... I heard, 686.690 687.820 ... and I thought it was him. 687.820 688.820 .. he didn't give his name =, 688.820 690.035 but I heard a kid o=n, 692.145 694.155 ... p- .. whatever that shopping thing is on the [radio]",give,name,,,tell,,0,,0,
,"the Father. 523.285 525.557 .. (H) Uh they- the disciples were to wait, 525.557 528.019 .. until that great promise was given , 528.019 529.432 the gift of the Holy Spirit. 529.432 532.836 .. (H) And so .. the Holy Spirit given to us, 532.836",give,promise,,,promise,,3,1,4,
,"heart. 968.840 970.130 (Hx) (H) And uh, 970.130 971.810 (H) once you've had that experience, 971.810 974.420 you'd .. give anything to have the experience repeated. 974.420 975.255 And so uh, 975.255 977.740 (H) you go through any amount of",give,anything,,,sacrifice,,,,0,
,"1394.661 WALT: But what I've cho=se, 1394.661 1396.412 ... is to overcome my fea=rs, 1396.412 1398.394 ... and give my life , 1398.394 1399.518 ... to Jesus Christ. 1398.791 1399.881 MANY: Amen. 1399.881 1401.764 WALT: (H) But we must f",give,life,,,sacrifice,,,,0,
