"lfd","noun","collocations","category"
1,"rose","shrub","P&F"
2,"rose","mid-term","P&F"
3,"rose","red","P&F"
4,"rose","climbing","P&F"
5,"rose","damask","P&F"
6,"rose","wild","P&F"
7,"rose","pink","P&F"
8,"rose","miniature","P&F"
9,"rose","net","P&F"
10,"rose","old-fashioned","P&F"
11,"rose","yellow","P&F"
12,"rose","ceiling","P&F"
13,"rose","hybrid","P&F"
14,"rose","patio","P&F"
15,"rose","mas","P&F"
16,"rose","share","P&F"
17,"rose","scented","P&F"
18,"rose","white","P&F"
19,"rose","long-stemmed","P&F"
20,"rose","stone","P&F"
21,"rose","cabbage","P&F"
22,"rose","purple","P&F"
23,"rose","english","P&F"
24,"rose","chin","P&F"
25,"rose","bush","P&F"
26,"rose","honeysuckle","P&F"
27,"rose","clemati","P&F"
28,"rose","carnation","P&F"
29,"rose","nerolus","P&F"
30,"rose","jasmine","P&F"
31,"rose","monday","P&F"
32,"rose","daffodil","P&F"
33,"rose","tulip","P&F"
34,"rose","freesia","P&F"
35,"rose","foxglove","P&F"
36,"rose","Victorine","P&F"
37,"rose","Thorn","P&F"
38,"rose","lily","P&F"
39,"rose","orchid","P&F"
40,"rose","rambler","P&F"
41,"rose","lavender","P&F"
42,"rose","rose","P&F"
43,"rose","quarter","P&F"
44,"rose","flower","P&F"
45,"rose","leaf","P&F"
46,"rose","crown","P&F"
47,"rose","wine","P&F"
48,"rose","tower","P&F"
49,"rose","petal","P&F"
50,"rose","bowl","P&F"
51,"rose","quartz","P&F"
52,"rose","thorn","P&F"
53,"rose","pruning","P&F"
54,"rose","fertiliser","P&F"
55,"rose","garden","P&F"
56,"rose","hip","P&F"
57,"rose","bud","P&F"
58,"rose","vase","P&F"
59,"rose","arch","P&F"
60,"rose","cottage","P&F"
61,"rose","concert","P&F"
62,"rose","theatre","P&F"
63,"rose","window","P&F"
64,"rose","bed","P&F"
65,"rose","festival","P&F"
66,"rose","tree","P&F"
67,"rose","variety","P&F"
68,"rose","award","P&F"
69,"rose","design","P&F"
70,"rose","care","P&F"
71,"rose","prune","P&F"
72,"rose","plant","P&F"
73,"rose","propagate","P&F"
74,"rose","climb","P&F"
75,"rose","position","P&F"
76,"rose","grow","P&F"
77,"rose","list","P&F"
78,"rose","arrange","P&F"
79,"rose","press","P&F"
80,"rose","choose","P&F"
81,"rose","love","P&F"
82,"rose","wear","P&F"
83,"rose","throw","P&F"
84,"rose","buy","P&F"
85,"rose","like","P&F"
86,"rose","carry","P&F"
87,"rose","include","P&F"
88,"rose","contain","P&F"
89,"rose","put","P&F"
90,"rose","call","P&F"
91,"rose","see","P&F"
92,"rose","show","P&F"
93,"rose","bring","P&F"
94,"rose","use","P&F"
95,"rose","want","P&F"
96,"rose","wreath","P&F"
97,"rose","bouquet","P&F"
98,"rose","bunch","P&F"
99,"rose","scent","P&F"
100,"rose","smell","P&F"
101,"rose","war","P&F"
102,"rose","full","P&F"
103,"rose","amount","P&F"
104,"rose","cost","P&F"
105,"rose","name","P&F"
106,"rose","type","P&F"
107,"rose","number","P&F"
108,"rose","think","P&F"
109,"rose","begin","P&F"
110,"rose","leave","P&F"
111,"rose","follow","P&F"
112,"rose","come","P&F"
113,"rose","go","P&F"
114,"rose","bloom","P&F"
115,"rose","cheek","P&F"
116,"rose","entwine","P&F"
117,"rose","Lima","P&F"
118,"rose","summer","P&F"
119,"rose","earnings","P&F"
120,"rose","foot","P&F"
121,"rose","cent","P&F"
122,"rose","apothecary","P&F"
123,"rose","look","P&F"
124,"rose","back","P&F"
125,"rose","door","P&F"
126,"rose","poss","P&F"
127,"rose","Sfin","P&F"
