"","id","token","pos","check","paradigm_he","paradigm_lat","kwic","art","adj","noun","latin","chk_ann"
"3622",8181,"אבארטאציע","ADJ",1,"ע","-e","אן אבארטאציע נאר","an","{a-o}{b-v}{a-o}rt{a-o}zie","n{a-o}r","an {a-o}{b-v}{a-o}rt{a-o}zie n{a-o}r",NA
"5109",809,"אביעקטן","NOUN",1,"טן","-en","די רעאלע אביעקטן","di","re{a-o}le","{a-o}{b-v}iektn","di re{a-o}le {a-o}{b-v}iektn",1
"8983",5308,"אבליגאציע","NOUN",1,"ע","-e","א מאראלע אבליגאציע","a","m{a-o}r{a-o}le","{a-o}{b-v}lig{a-o}zie","a m{a-o}r{a-o}le {a-o}{b-v}lig{a-o}zie",1
"3049",6886,"אבנארמאלע","ADJ",1,"לע","-le","א אבנארמאלע זאך","a","{a-o}{b-v}n{a-o}rm{a-o}le","s{a-o}ch","a {a-o}{b-v}n{a-o}rm{a-o}le s{a-o}ch",1
"3483",7851,"אבסטראקטע","ADJ",1,"טע","-e","אן אבסטראקטע זאך","an","{a-o}{b-v}sstr{a-o}kte","s{a-o}ch","an {a-o}{b-v}sstr{a-o}kte s{a-o}ch",1
"347",813,"אבסטראקציע","ADJ",1,"ע","-e","אן אבסטראקציע וואס","an","{a-o}{b-v}sstr{a-o}kzie","w{a-o}ss","an {a-o}{b-v}sstr{a-o}kzie w{a-o}ss",1
"1278",2854,"אבסעסיע","ADJ",1,"ע","-e","די אבסעסיע און","di","{a-o}{b-v}ssessie","a{u-o}n","di {a-o}{b-v}ssessie a{u-o}n",NA
"352",822,"אבסערוואטאריע","ADJ",1,"ע","-e","אן אבסערוואטאריע זיין","an","{a-o}{b-v}sserw{a-o}t{a-o}rie","sein","an {a-o}{b-v}sserw{a-o}t{a-o}rie sein",NA
"1471",3233,"אבעלישע","ADJ",1,"ע","-e","אן אבעלישע גרופע","an","{a-o}{b-v}elische","gr{u-o}{p-f}e","an {a-o}{b-v}elische gr{u-o}{p-f}e",1
"419",963,"אגאישע","ADJ",1,"ע","-e","די אגאישע אינזלען","di","{a-o}gische","inslen","di {a-o}gische inslen",1
