"","noun","check"
"1","{a-o}kti{a-o}rn''",1
"2","''sch{p-f}{u-o}lerke''",1
"3","von",1
"4","{a-o}{b-v}iektn",1
"5","{a-o}{b-v}lig{a-o}zie",1
"6","s{a-o}ch",1
"7","w{a-o}ss",1
"8","a{u-o}n",1
"9","sein",1
"10","is",1
"11","gr{u-o}{p-f}e",1
"12","inslen",1
"13","{a-o}gende",1
"14","{a-o}gent{u-o}rn",1
"15","aַgentn",1
"16","m{u-o}sch{b-v}im",1
"17","rider",1
"18","{a-o}dw{a-o}k{a-o}tn",1
"19",NA,1
"20","wײַst",1
"21","h{u-o}i{p-f}tkw{a-o}rtir",1
"22","grenezn",1
"23","{a-o}delige",1
"24","{a-o}dern",1
"25","{a-o}hr{u-o}nische",1
"26","(",1
"27","aַw{a-o}ַng{a-o}ַrdische",1
"28","in",1
"29","meschh",1
"30","gegnt",1
"31","aַwisie",1
"32","schleimh{u-o}it",1
"33","{a-o}wekleign",1
"34","a{u-o}t{a-o}ritetn",1
"35","seit",1
"36","lt{u-o}{b-v}t",1
"37","scht{a-o}kn",1
"38","teil",1
"39","a{u-o}ign",1
"40","s{a-o}l",1
"41","a{u-o}it{a-o}{b-v}{u-o}ssn",1
"42","gir-{b-v}{a-o}kss",1
"43","{b-v}{a-o}n{u-o}zt",1
"44","{p-f}{a-o}rl{a-o}ment{a-o}re",1
"45","a{u-o}it{a-o}ָn{a-o}ָme",1
"46","a{u-o}it{a-o}ritetn",1
"47","a{u-o}it{a-o}ָritetn",1
"48","{p-f}eder",1
"49","essn",1
"50","{p-f}ֿ{a-o}rsi{k-ch}er{u-o}ng",1
"51","l{u-o}{p-f}t",1
"52","gr{u-o}{b-v}",1
"53","{p-f}lezer",1
"54","er{p-f}{a-o}lg",1
"55","tlmidim",1
"56","linie",1
"57","a{u-o}issgetretne",1
"58","a{u-o}issgez{u-o}igene",1
"59","ger{a-o}ngel",1
"60","wissnsch{a-o}{p-f}tler",1
"61","a{u-o}issgekli{b-v}ene",1
"62","{k-ch}{u-o}{p-f}rim",1
"63","{b-v}ni",1
"64","zvon''dign",1
"65","sch{a-o}ָl",1
"66","sch{p-f}r{a-o}{k-ch}n",1
"67","medie",1
"68","rײַ{k-ch}keit",1
"69","getreie",1
"70","gr{u-o}isse",1
"71","a{u-o}issern",1
"72","a{u-o}issz{u-o}{p-f}{a-o}lgn",1
"73","re{k-ch}t",1
"74","schtern",1
"75","scht{a-o}t",1
"76","{b-v}{a-o}sche{p-f}tig{u-o}ng",1
"77","oifgek{u-o}mene",1
"78","wintn",1
"79","oifn",1
"80","t{u-o}rh",1
"81","n{a-o}{k-ch}dem",1
"82","i{b-v}erge{b-v}{u-o}ng",1
"83","{p-f}{a-o}zi{p-f}ische",1
"84","a{u-o}mglikn",1
"85","{p-f}r{a-o}{b-v}lemen",1
"86","hilf",1
"87","{a-o}ndeit{u-o}ng",1
"88","a{u-o}mwissende",1
"89","a{u-o}msinsstige",1
"90","g{a-o}s",1
"91","{p-f}{a-o}nt{a-o}sie",1
"92","mitl",1
"93","werter",1
"94","{b-v}letl",1
"95","grenez",1
"96","di",1
"97","ss{u-o}me",1
"98","w{a-o}{p-f}n",1
"99","emischenss",1
"100","a{u-o}mre{k-ch}tn",1
"101","tr{a-o}gedie",1
"102","a{p-f}er{a-o}zie",1
"103","a{u-o}ntn",1
"104","{p-f}l{a-o}n",1
"105","{k-ch}t{b-v}",1
"106","a{u-o}ntern",1
"107","{b-v}{a-o}r",1
"108","a{u-o}nteredische",1
"109","{b-v}{a-o}nen",1
"110","a{u-o}nterz{u-o}{a-o}w{a-o}r{p-f}n",1
"111","wiew{a-o}desch{a-o}{p-f}t",1
"112","a{u-o}niwerssitetn",1
"113","a{u-o}{p-f}n",1
"114","schtet",1
"115","l{a-o}nd",1
"116","scht{a-o}ָt",1
"117","sstritk{a-o}r",1
"118","hitr",1
"119","{p-f}{a-o}r{p-f}{a-o}rsser",1
"120","k{a-o}ntinent",1
"121","im{p-f}erie",1
"122","zeiַtn",1
"123","zi{p-f}ern",1
"124","aַt{a-o}ָmische",1
"125","{a-o}t{a-o}n{a-o}mie",1
"126","r{b-v}nim",1
"127","a{p-f}scht{a-o}m",1
"128","t{u-o}r{u-o}t",1
"129","i{b-v}erge{b-v}line",1
"130","m{a-o}ss",1
"131","i{b-v}ergezeigte",1
"132","i{b-v}ersi{k-ch}tn",1
"133","h{a-o}{b-v}n",1
"134","7",1
