"","id","token","pos","check","paradigm_he","paradigm_lat","kwic","art","adj","noun","latin","chk_ann"
"4820",9883,"אבסטראקטע","ADJ",1,"טע","-e","אן אבסטראקטע זאך","an","{a-o}{b-v}sstr{a-o}kte","s{a-o}ch","an {a-o}{b-v}sstr{a-o}kte s{a-o}ch",1
"3262",6653,"מאראלע","ADJ",1,"לע","-le","א מאראלע אבליגאציע","a","m{a-o}r{a-o}le","{a-o}{b-v}lig{a-o}zie","a m{a-o}r{a-o}le {a-o}{b-v}lig{a-o}zie",1
"3686",7502,"העברעיאישע","ADJ",1,"ע","-e","די העברעיאישע ווערטער","di","he{b-v}reiische","werter","di he{b-v}reiische werter",1
"4269",8760,"מאָדערנע","ADJ",1,"ע","-e","די מאָדערנע שטאָט","di","m{a-o}ָderne","scht{a-o}ָt","di m{a-o}ָderne scht{a-o}ָt",1
"402",899,"ארגענאזאציע","ADJ",1,"ע","-e","אן ארגענאזאציע וואס","an","{a-o}rgen{a-o}s{a-o}zie","w{a-o}ss","an {a-o}rgen{a-o}s{a-o}zie w{a-o}ss",1
"370",817,"דאקטוירישע","ADJ",1,"ע","-e","אן דאקטוירישע הילף","an","d{a-o}kt{u-o}irische","hilf","an d{a-o}kt{u-o}irische hilf",1
"855",1731,"ביאגראפיע","ADJ",1,"ע","-e","א ביאגראפיע וואס","a","{b-v}i{a-o}gr{a-o}{p-f}ie","w{a-o}ss","a {b-v}i{a-o}gr{a-o}{p-f}ie w{a-o}ss",1
"1252",2484,"אַלטע","ADJ",1,"טע","-e","די אַלטע שטאָט","di","aַlte","scht{a-o}ָt","di aַlte scht{a-o}ָt",1
"207",480,"אזויגערופענע","ADJ",1,"ע","-e","די אזויגערופענע סטריטקאר","di","{a-o}s{u-o}iger{u-o}{p-f}ene","sstritk{a-o}r","di {a-o}s{u-o}iger{u-o}{p-f}ene sstritk{a-o}r",1
"125",301,"ביזאנטישע","ADJ",1,"ע","-e","די ביזאנטישע אימפעריע","di","{b-v}is{a-o}ntische","im{p-f}erie","di {b-v}is{a-o}ntische im{p-f}erie",1
"1741",3526,"אויסגעמאלענע","ADJ",1,"ע","-e","אן אויסגעמאלענע ליניע","an","a{u-o}issgem{a-o}lene","linie","an a{u-o}issgem{a-o}lene linie",1
"879",1771,"פּלאַטפֿאָרמע","ADJ",1,"מע","-e","א פּלאַטפֿאָרמע וואס","a","{p-f}ּl{a-o}ַt{p-f}ֿaָrme","w{a-o}ss","a {p-f}ּl{a-o}ַt{p-f}ֿaָrme w{a-o}ss",1
"747",1547,"אוואולאציע־","ADJ",1,"ע","-e","דעם אוואולאציע־","dem","{a-o}w{a-o}{u-o}l{a-o}zie־",NA,"dem {a-o}w{a-o}{u-o}l{a-o}zie־",1
"4799",9843,"װיסנשאַפֿטלעכע","ADJ",1,"כע","-e","די װיסנשאַפֿטלעכע אַװיזיע","di","wissnsch{a-o}ַ{p-f}ֿtle{k-ch}e","aַwisie","di wissnsch{a-o}ַ{p-f}ֿtle{k-ch}e aַwisie",1
