"","x"
"1","Wenigstens einer meiner Universitätslehrer, aber gerade der, dem ich meine histologischen Kenntnisse (Epidermis) verdanke, könnte sich bei dem Namen Knödel an eine Person erinnern, die er belangen mußte, weil sie ein Plagiat an seinen <#MET Schriften #> begangen hatte."
"2","Man bezichtige den dramatischen Dichter schon nach dem zweiten Akt der <#MET Erstaufführung #> des Plagiats, nicht weil dies zu früh, sondern nach dem Schluß der Vorstellung vielleicht zu spät sein würde."
"3","der Schafe, verwendet oder mit <#MET Jauche #> u.a. kompostiert."
"4","Plagiat, <#MET Plagium #> (lat).,"
"5","<#MET Aneignung #> fremder Gedanken auf schriftstellerischem oder künstlerischem Gebiet;"
"6","Aneignung fremder <#MET Gedanken #> auf schriftstellerischem oder künstlerischem Gebiet;"
"7","Plagium (lat.), <#MET Menschenraub #> (s.d.); auch s.v.w. Plagiat."
"8","<#MET Plagoskop #> (grch.), Windfahne."
"9","Literarischer <#MET Diebstahl #>, also Plagiat, liegt nur dann vor, wenn man sich wesentliche Bestandteile eines Gedankenwerkes aneignet und diese in der Art verwendet, daß sie dann wesentliche Bestandteile des Werkes des Plagiators bilden und dabei als seine eigenen Gedanken erscheinen."
"10","Ein anderer schreibt: »Alles ist mehr oder weniger Plagiat an errungener Kultur-, Geistes- oder <#MET Phantasieproduktion #>."
"11","Der <#MET Gegenstand #> des Gespräches zwischen ihm und Eckermann am 18."
"12","Treffen sich Jüngling und Mädchen, das freilich bedacht sein müßte, seine weibliche <#MET Eigenart #> beizubehalten und nicht als mißlungenes Plagiat des Mannes dazustehen, dann im Berufe, auf der Hochschule, überhaupt in der Wirklichkeit des Lebens immer wieder und nicht bloß im Scheinleben der Geselligkeit, dann können sie einander begreifen und bewerten lernen."
"13","Denn das <#MET Manuskript #> meiner 'Mathilde' war schon aus der Welt verschwunden, als Gabriele d' Annunzio noch die geschlitzten Höschen trug."
"14","[...] Es sprach dem Uhrheber das zweifache Verfügungsrecht: der Vervielfältigung einerseits und der Veröffentlichung andrerseits zu (§2), setzte dem verbotenen Nachdrucke gleich: den Abdruck von Manuskripten aller Art und von Vorträgen, auch dann, wenn der Unternehmer des Abdrucks rechtmäßiger Besitzer der Originalhandschrift (also auch von Briefen), einer Abschrift oder Nachschrift sei, Auszüge aus dem Werke eines andern, mit oder ohne Veränderungen, wenn sie als besondere <#MET Schriften #> erschienen, suchte eine Handhabe gegen das Plagiat zu geben (§ 4e: »zwei Werke, welche denselben Gegenstand in der nämlichen Ordnung und Eintheilung behandeln«, ohne daß das später erschienene sich durch »Vermehrung oder sonstige Veränderung des Inhalts . . . als ein neues selbstständiges Geisteswerk« zeigt), gestattete das wörtliche Anführen einzelner Stellen, die Aufnahme einzelner einem großen Werke (oder einer periodischen Erscheinung) entnommenen Aufsätze, Gedichte usw."
"15","Der Vorwurf des Plagiats gegen Dichtungen, die fremde <#MET Bestandteile #> enthalten, ist so alt wie die Literaturkritik."
"16","Das Leben, in das die Worte eingesetzt sind, ist von dem Leben, dem sie entnommen sind, so verschieden, daß auch nicht die Spur einer innern Identität mehr vorhanden ist, und die äußere, also das Plagiat, ist nichts anderes als die <#MET Leistung #>, die es bewirkt hat."
"17","Die <#MET Gegenüberstellung #> soll noch nicht mein Plagiat aufzeigen, sondern nur, daß ich den Lärm von dort genommen habe, wo er lebendiger ist als im berichthaften »Feldgeschrei« und daß er dort fast schon den Dialekt meiner Verkürzung hat."
"18","[...] Zudem sind die kritisch-methodologischen Erwägungen teilweise wenig durchschlagend: wer wie der hier kritisierte Paul Theodor Hoffmann das »Menschliche des Mittelalters an einem besonderen Beispiel lebendig machen« will, den braucht gerade unter diesem Gesichtspunkt, dem es auf das Typische auch im seelischen Erleben (und eben nicht auf das Individuelle) ankommt, das »<#MET Schrifttum #> des traditionellen Plagiats« (S. 39) am allerwenigsten zu beirren; ein Erleben kann durchaus echt sein, ohne 'originell' zu sein, vor allem aber -- und zumal im frühen Mittelalter -- ohne einen originellen Ausdruck in Worten eigener Prägung zu finden."
"19","Als Schriftsteller war ihm längst bekannt, daß ein Plagiat oft mehr einbringt als das <#MET Original #>."
"20","«Die Vorstellungen durchlaufen die verschiedensten Nuancen von der Annahme einer Offenbarung des göttlichen Logos in der heidnischen Philosophie bis zu der Vorstellung eines an den hl. <#MET Schriften #> begangenen Plagiates oder einer Entstellung der Wahrheit durch die Dämonen»."
"21","«Die Vorstellungen durchlaufen die verschiedensten Nuancen von der Annahme einer Offenbarung des göttlichen Logos in der heidnischen Philosophie bis zu der Vorstellung eines an den hl. Schriften begangenen Plagiates oder einer <#MET Entstellung #> der Wahrheit durch die Dämonen»."
"22","(Zuruf links: Alles Plagiat!) — Es mag sein, daß meine <#MET Gedanken #> Plagiat sind."
"23","b. <#MET Verleumdung #>, Schmähung, Ehrverletzung unbegründete Anschuldigungen und Plagiat sind ebenfalls schwere Vergehen."
"24","b. Verleumdung, Schmähung, <#MET Ehrverletzung #> unbegründete Anschuldigungen und Plagiat sind ebenfalls schwere Vergehen."
"25","Kann man aber von Plagiat in einer Epoche reden, in der die musikalischen <#MET Formeln #> großenteils stereotyp waren?"
"26","(Abg. Dr. Vogel: Stimmt ja gar nicht!) — Na ja, Herr Kollege Dr. Vogel, Sie wollen doch nicht bestreiten, daß Ihr <#MET Entwurf #> nur ein Plagiat des <#MET Entwurf #>s des Bundesinnenministeriums ist."
"27","(Abg. Dr. Vogel: Stimmt ja gar nicht!) — Na ja, Herr Kollege Dr. Vogel, Sie wollen doch nicht bestreiten, daß Ihr Entwurf nur ein Plagiat des <#MET Entwurfs #> des Bundesinnenministeriums ist."
"28","Und indem sie aussprach, was die Essenz der religiösen Sehnsucht ausmacht, mit aufgehobener astralmythischer Statik, mit aller <#MET Nachreife #> des Exodusgotts, ist sie allerdings ein Plagiat, aber nicht nur an Persien, sondern an der zentralen Utopie der Religionen selbst."
"29","Sie sollen dadurch vor <#MET Verletzung #> des droit moral wie vor dem Plagiat und vor unerlaubter Bearb."
"30","Unser Grundsatz ist — ich begehe jetzt kein Plagiat an Herrn Krone —: Soviel <#MET Freiheit #> als möglich, sowenig Staat als möglich."
"31","Ich kann mir nichts anderes vorstellen, als daß Sie, Herr Kollege Horn, sagen wollten, daß wir der CDU-<#MET Fraktion #> etwas weggenommen, also sozusagen ein Plagiat begangen hätten."
"32","November stammt, ein Plagiat von einem noch gar nicht vorliegenden <#MET Entwurf #> der CDU-Fraktion sein soll."
"33","Nun ist nicht leicht einzusehen, wieso unser <#MET Entwurf #>, der vom 7. November stammt, ein Plagiat von einem noch gar nicht vorliegenden <#MET Entwurf #> der CDU-Fraktion sein soll."
"34","Ich bin nicht der Schöpfer dieses <#MET Gedankens #>."
"35","er schrieb deshalb eine <#MET Version #>, für die F. F. Hurka (1762-1805)."
