"","noun","metaphor"
"1","_der_Staat_zahlt_immer",0
"2","-o",0
"3","'",0
"4","§",0
"5","%",0
"6","$",0
"7","1542",0
"8","Abänderung",1
"9","Abbruch",0
"10","Abenteuer",0
"11","Abenteuerfilm",0
"12","Abenteurer",0
"13","aber",0
"14","Aberkennung",0
"15","Abfuhr",0
"16","Abg",0
"17","Abgeordnete",0
"18","abgeschrieben",1
"19","Abgrenzung",0
"20","Abgrenzungsstrategen",0
"21","Abhandlung",0
"22","Abklatsch",1
"23","Abkürzung",0
"24","Ablehnung",0
"25","Ablenkungstaktik",0
"26","Abriß",1
"27","Absatz",0
"28","Absätzen",0
"29","Abschiedsbriefe",0
"30","Abschluß",0
"31","Abschlussarbeit",0
"32","Abschlussbericht",0
"33","Abschnitt",0
"34","abschreiben",1
"35","Abschreiben",1
"36","Abschreiber",1
"37","Abschreibung",1
"38","Abschrift",1
"39","Absetzung",0
"40","Absicht",0
"41","Abstimmung",0
"42","Abstraktion",1
"43","Abstrus",0
"44","Absturz",0
"45","Abwandlung",1
"46","Académie",0
"47","Acrylfarbe",0
"48","Adaption",1
"49","Adelsschwärmerei",0
"50","Agent",0
"51","Aglaier",0
"52","ähnlich",1
"53","Ähnlichkeit",1
"54","Ähnlichkeitsprozent",1
"55","Akademiker",0
"56","Akkordfolge",0
"57","Akt",0
"58","Aktenvermerk",0
"59","Akteur",0
"60","Aktion",0
"61","Aktionsplan",0
"62","Aktivist",0
"63","Aktivität",0
"64","aktuelle",0
"65","Album",0
"66","allerwenigst",0
"67","Allheilmittel",0
"68","Altbaubestand",0
"69","Alter",0
"70","Altersgründe",0
"71","Altgriechischen",0
"72","Alttestamentler",0
"73","Ambrose",0
"74","Ameise",0
"75","Amerikaner",0
"76","Amerikareise",0
"77","Amt",0
"78","Amtsgericht",0
"79","Amtskollege",0
"80","amüsiert",0
"81","Anagramm",1
"82","Analyse",0
"83","Anatom",0
"84","ander",0
"85","Änderung",1
"86","Änderungsantrag",0
"87","Andeutung",1
"88","Android",0
"89","Aneignung",1
"90","Anekdote",0
"91","Anerkennung",0
"92","Anfang",0
"93","Anfechtungsklage",0
"94","anfertigen",0
"95","Anfertigung",0
"96","Anforderung",0
"97","Anfrage",0
"98","Anführen",0
"99","Anführungszeichen",0
"100","Angabe",0
"101","Angebot",0
"102","Angriff",0
"103","Angst",0
"104","Anhaltspunkt",0
