Source,Target,Type,Id,Label,Weight
allgemein,Achat,Directed,858,Achat,1
ander,Achat,Directed,859,Achat,1
berühmt,Achat,Directed,860,Achat,1
beschrieben,Achat,Directed,861,Achat,2
blau,Achat,Directed,863,Achat,2
gedrungen,Achat,Directed,865,Achat,1
gerunden,Achat,Directed,866,Achat,1
jeweilig,Achat,Directed,867,Achat,1
klein,Achat,Directed,868,Achat,1
menschlich,Achat,Directed,869,Achat,1
mexikanisch,Achat,Directed,870,Achat,1
pur,Achat,Directed,871,Achat,1
schwarzweiß,Achat,Directed,872,Achat,1
selten,Achat,Directed,873,Achat,1
unbestreitbar,Achat,Directed,874,Achat,1
urinfarben,Achat,Directed,875,Achat,1
wahrnehmhar,Achat,Directed,876,Achat,1
winzig,Achat,Directed,877,Achat,1
aufeinanderfolgend,Ammonit,Directed,878,Ammonit,1
groß,Ammonit,Directed,879,Ammonit,2
lins,Ammonit,Directed,881,Ammonit,1
erkennbar,Baryt,Directed,882,Baryt,1
brüderlich,Baustein,Directed,883,Baustein,1
kontrastierend,Baustein,Directed,884,Baustein,1
regellos,Baustein,Directed,885,Baustein,1
versetzt,Baustein,Directed,886,Baustein,1
lang,Bilderstein,Directed,887,Bilderstein,1
zerfetzt,Chlorit,Directed,888,Chlorit,1
ahnlich,Dendrit,Directed,889,Dendrit,1
buschig,Dendrit,Directed,890,Dendrit,1
erwähnt,Dendrit,Directed,891,Dendrit,1
hart,Diamant,Directed,892,Diamant,1
mikroskopisch,Diatomee,Directed,893,Diatomee,1
begehrt,Edelstein,Directed,894,Edelstein,1
genau,Edelstein,Directed,895,Edelstein,1
kleiden,Edelstein,Directed,896,Edelstein,1
werdend,Edelstein,Directed,897,Edelstein,1
unschmelzbar,Eis,Directed,898,Eis,1
blutrot,Eisenglanz,Directed,899,Eisenglanz,1
speziell,Eisenglanz,Directed,900,Eisenglanz,1
schnell,Ergußgestein,Directed,901,Ergußgestein,1
vulkanisch,Ergußgestein,Directed,902,Ergußgestein,1
amorphen,Felsgestein,Directed,903,Felsgestein,1
bekannt,Felsgestein,Directed,904,Felsgestein,1
offen,Felsgestein,Directed,905,Felsgestein,1
unwandelbar,Felsgestein,Directed,906,Felsgestein,1
geologisch,Gestein,Directed,907,Gestein,1
kieselsäurearm,Gestein,Directed,908,Gestein,1
zulaufend,Gesteinsart,Directed,909,Gesteinsart,1
rot,Glimmer,Directed,910,Glimmer,1
schwarz,Glimmer,Directed,911,Glimmer,1
grundlegend,Hämatitkristall,Directed,912,Hämatitkristall,1
völlig,Hämatitkristall,Directed,913,Hämatitkristall,1
tiefbetrübt,Herz,Directed,914,Herz,1
unbeweglich,Herz,Directed,915,Herz,1
bekennen,Jaspis,Directed,916,Jaspis,1
zufällig,Jaspis,Directed,917,Jaspis,1
