id,item,source,target
1,Gedenkkopf einer Königinmutter,Skulptur,ist ein(e)
2,Gedenkkopf einer Königinmutter,Gedenkskulptur,ist ein(e)
3,Gedenkkopf einer Königinmutter,Bronze Head of Queen Idia,basiert auf
4,Gedenkkopf einer Königinmutter,Krone,Motiv
5,Gedenkkopf einer Königinmutter,Halskette,Motiv
6,Gedenkkopf einer Königinmutter,Skarifizierung,Motiv
7,Gedenkkopf einer Königinmutter,menschlicher Kopf,Motiv
8,Gedenkkopf einer Königinmutter,Königinmutter,Motiv
9,Gedenkkopf einer Königinmutter,Eisen,Material
10,Gedenkkopf einer Königinmutter,Glas,Material
11,Gedenkkopf einer Königinmutter,Bronze,Material
12,Gedenkkopf einer Königinmutter,Ethnologisches Museum Berlin,Sammlung
13,Gedenkkopf einer Königinmutter,Ethnologisches Museum Berlin,Ort
14,Gedenkkopf einer Königinmutter,Königreich Benin,Ursprungsland
15,Gedenkkopf einer Königinmutter,Unvergleichlich: Kunst aus Afrika im Bode-Museum,Ausstellung(en)
16,Gedenkkopf einer Königinmutter,Idia,zentrales Thema
17,Gedenkkopf einer Königinmutter,Benin Stadt,Herstellungsort
18,Gedenkkopf einer Königinmutter,Commemorative head of Queen Mother,verschieden von
19,Gedenkkopf einer Königinmutter,Wachsausschmelzverfahren,Herstellungsmethode
20,Gedenkkopf einer Königinmutter,Inkrustation,Herstellungsmethode
21,Gedenkkopf einer Königinmutter,Edo,Kultur
